epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7359.11,0.50088,0.34151,0.84204,0.93238,0.91827,0.97103,0.9153,0.40486,0.32262,0.83475,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797
31,7598.88,0.50101,0.34099,0.84129,0.93326,0.92139,0.972,0.91724,0.40089,0.31611,0.83298,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073
32,7845.26,0.49342,0.33663,0.84018,0.93558,0.91688,0.97196,0.91773,0.39956,0.31565,0.83263,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557
33,8095.1,0.49054,0.33335,0.83841,0.93604,0.91695,0.97226,0.91831,0.40028,0.31546,0.83193,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479
34,8339.07,0.49037,0.33432,0.83767,0.93622,0.92036,0.97256,0.91878,0.39828,0.3135,0.83205,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064
35,8582.72,0.48975,0.33038,0.8372,0.93625,0.9202,0.97251,0.91887,0.39872,0.31201,0.83172,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531
36,8833.57,0.48586,0.32814,0.83655,0.93742,0.91913,0.97237,0.91941,0.39764,0.31137,0.8316,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093
37,9077.13,0.48562,0.33031,0.83634,0.938,0.91836,0.97262,0.91968,0.39618,0.31116,0.83126,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895
38,9322.53,0.48139,0.32834,0.83552,0.93779,0.91731,0.97226,0.91944,0.39598,0.31323,0.83101,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298
39,9562.21,0.48244,0.32771,0.83547,0.93609,0.91816,0.97214,0.91916,0.39436,0.31463,0.83028,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321
40,9801.95,0.47921,0.32312,0.83538,0.94101,0.91638,0.97211,0.91936,0.39404,0.31591,0.83057,0.000741576,0.000247192,0.000741576,0.000247192,0.000741576,0.000247192,0.000741576,0.000247192
41,10040.5,0.44641,0.29895,0.82329,0.93993,0.91592,0.97175,0.91901,0.39449,0.31547,0.83074,0.00062722,0.000209073,0.00062722,0.000209073,0.00062722,0.000209073,0.00062722,0.000209073
42,10278.6,0.44595,0.29789,0.82372,0.9395,0.91728,0.97218,0.9195,0.39582,0.31444,0.8312,0.000522346,0.000174115,0.000522346,0.000174115,0.000522346,0.000174115,0.000522346,0.000174115
43,10516.4,0.44647,0.29639,0.82207,0.93982,0.91645,0.9723,0.92005,0.39333,0.31297,0.83046,0.000427369,0.000142456,0.000427369,0.000142456,0.000427369,0.000142456,0.000427369,0.000142456
44,10763.3,0.44317,0.2932,0.82246,0.93918,0.91862,0.97245,0.92041,0.39326,0.31385,0.83036,0.000342664,0.000114221,0.000342664,0.000114221,0.000342664,0.000114221,0.000342664,0.000114221
45,11009.5,0.44444,0.29366,0.82276,0.93788,0.92001,0.97272,0.9209,0.39244,0.30892,0.83017,0.000268564,8.95213e-05,0.000268564,8.95213e-05,0.000268564,8.95213e-05,0.000268564,8.95213e-05
46,11257,0.44515,0.29516,0.82173,0.93688,0.92193,0.97288,0.921,0.3922,0.30741,0.82996,0.000205362,6.8454e-05,0.000205362,6.8454e-05,0.000205362,6.8454e-05,0.000205362,6.8454e-05
47,11505.4,0.44265,0.2921,0.82214,0.9363,0.92145,0.9728,0.92099,0.39238,0.30768,0.83007,0.000153308,5.11027e-05,0.000153308,5.11027e-05,0.000153308,5.11027e-05,0.000153308,5.11027e-05
48,11749.5,0.44268,0.29332,0.82216,0.93554,0.92151,0.97271,0.921,0.39255,0.30739,0.82996,0.000112607,3.75356e-05,0.000112607,3.75356e-05,0.000112607,3.75356e-05,0.000112607,3.75356e-05
49,11997.7,0.44098,0.29371,0.82162,0.9374,0.92138,0.97284,0.92109,0.39215,0.3063,0.82982,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05
50,12243.9,0.44263,0.29289,0.82146,0.93541,0.92291,0.97287,0.92109,0.39211,0.30732,0.82986,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05
