epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.851,1.43024,1.33801,1.22615,0.74624,0.52508,0.61278,0.40087,1.43731,1.40635,1.22612,0.000166503,0.000166503,0.0668659
2,580.083,1.46774,1.41258,1.24377,0.69357,0.55091,0.62077,0.40193,1.51099,1.41944,1.27314,0.000332661,0.000332661,0.0336988
3,865.833,1.46794,1.44182,1.2459,0.72448,0.57751,0.65581,0.43244,1.40992,1.33112,1.20053,0.00049679,0.00049679,0.000529566
4,1151.02,1.44713,1.39416,1.23396,0.75116,0.58397,0.67595,0.45076,1.384,1.27932,1.20221,0.000493162,0.000493162,0.000493162
5,1436.99,1.42446,1.34167,1.21368,0.73985,0.60076,0.68274,0.45793,1.36955,1.21973,1.18922,0.000487886,0.000487886,0.000487886
6,1722.82,1.40391,1.30503,1.19673,0.77425,0.60331,0.69876,0.47643,1.3292,1.20212,1.16014,0.00048116,0.00048116,0.00048116
7,2008.83,1.37964,1.26369,1.18399,0.775,0.6098,0.70252,0.48736,1.32408,1.1268,1.15377,0.000473024,0.000473024,0.000473024
8,2293.92,1.37396,1.23228,1.17968,0.76645,0.62593,0.71505,0.48781,1.3256,1.11832,1.14186,0.000463528,0.000463528,0.000463528
9,2579.45,1.35307,1.20881,1.16967,0.79149,0.61584,0.71913,0.49325,1.3022,1.11206,1.14661,0.000452732,0.000452732,0.000452732
10,2864.62,1.33519,1.193,1.1631,0.77313,0.62924,0.7269,0.50547,1.25557,1.10869,1.11371,0.0004407,0.0004407,0.0004407
11,3149.73,1.33516,1.1742,1.15989,0.78897,0.6345,0.72781,0.50566,1.28595,1.06622,1.14412,0.000427509,0.000427509,0.000427509
12,3434.96,1.30061,1.1442,1.14815,0.79688,0.63053,0.73454,0.51516,1.24961,1.05604,1.11066,0.000413238,0.000413238,0.000413238
13,3720.38,1.29852,1.1227,1.14253,0.78829,0.64652,0.74194,0.52331,1.27834,1.05801,1.1243,0.000397977,0.000397977,0.000397977
14,4005.53,1.28653,1.09981,1.13444,0.801,0.64894,0.74534,0.52257,1.24365,1.06546,1.10081,0.000381818,0.000381818,0.000381818
15,4290.22,1.27437,1.0846,1.13071,0.79948,0.66033,0.7561,0.53054,1.22621,1.03038,1.08404,0.000364863,0.000364863,0.000364863
16,4576.66,1.26407,1.06813,1.12466,0.79365,0.65957,0.75126,0.53072,1.21137,1.05923,1.09029,0.000347214,0.000347214,0.000347214
17,4862.55,1.26192,1.05308,1.11449,0.8048,0.67097,0.76289,0.53731,1.20965,1.00545,1.0829,0.000328982,0.000328982,0.000328982
18,5148.07,1.24911,1.04111,1.11179,0.80567,0.66109,0.76307,0.53827,1.22638,0.99307,1.10291,0.000310278,0.000310278,0.000310278
19,5433.13,1.24474,1.02263,1.11047,0.80311,0.68035,0.76856,0.54329,1.23614,0.97023,1.10107,0.000291218,0.000291218,0.000291218
20,5718.36,1.23236,1.00709,1.09821,0.82965,0.65875,0.77155,0.54493,1.20696,0.98856,1.08063,0.000271919,0.000271919,0.000271919
21,6003.45,1.22349,0.99062,1.09783,0.8165,0.68009,0.777,0.55078,1.21183,0.96183,1.08232,0.0002525,0.0002525,0.0002525
22,6289.13,1.20471,0.97414,1.09424,0.81371,0.68389,0.7791,0.55497,1.21936,0.95348,1.09046,0.000233081,0.000233081,0.000233081
23,6574.72,1.19902,0.95418,1.08612,0.81404,0.69522,0.78221,0.55718,1.20679,0.92256,1.08674,0.000213782,0.000213782,0.000213782
24,6860.19,1.18985,0.93865,1.08236,0.82582,0.68769,0.783,0.55805,1.20905,0.9388,1.09158,0.000194722,0.000194722,0.000194722
25,7145.87,1.18383,0.92217,1.07749,0.82836,0.69491,0.78532,0.56121,1.20986,0.92692,1.08714,0.000176018,0.000176018,0.000176018
26,7431.63,1.17416,0.91197,1.07316,0.83029,0.70079,0.78792,0.56128,1.20701,0.90955,1.08722,0.000157786,0.000157786,0.000157786
27,7717.22,1.17244,0.9036,1.06897,0.83038,0.69563,0.78671,0.56636,1.20952,0.91866,1.09431,0.000140137,0.000140137,0.000140137
28,8002.93,1.1605,0.89386,1.0658,0.82846,0.70517,0.79024,0.56587,1.20008,0.90982,1.08961,0.000123182,0.000123182,0.000123182
29,8288.12,1.15884,0.88397,1.06405,0.82412,0.70323,0.78951,0.56707,1.2095,0.90213,1.0913,0.000107023,0.000107023,0.000107023
30,8574.18,1.14289,0.86578,1.0573,0.82173,0.70973,0.78962,0.56687,1.19877,0.90579,1.08709,9.17616e-05,9.17616e-05,9.17616e-05
31,8858.69,1.11217,0.81474,1.04511,0.8287,0.69844,0.78686,0.5652,1.20295,0.9107,1.08601,7.74911e-05,7.74911e-05,7.74911e-05
32,9142.05,1.10158,0.78668,1.03649,0.82191,0.70492,0.78792,0.56616,1.20576,0.90922,1.08979,6.42995e-05,6.42995e-05,6.42995e-05
33,9425.41,1.09596,0.77795,1.03152,0.82644,0.70859,0.78918,0.56594,1.20981,0.91001,1.08919,5.22683e-05,5.22683e-05,5.22683e-05
34,9708.78,1.08488,0.77092,1.03129,0.81568,0.71809,0.79202,0.56782,1.20704,0.90763,1.08953,4.14716e-05,4.14716e-05,4.14716e-05
35,9992.9,1.09029,0.76273,1.03145,0.82703,0.71394,0.79272,0.56804,1.20695,0.89823,1.08914,3.19759e-05,3.19759e-05,3.19759e-05
36,10276.9,1.08864,0.75592,1.02907,0.8364,0.709,0.79156,0.56772,1.20257,0.90056,1.09016,2.38398e-05,2.38398e-05,2.38398e-05
37,10560,1.08532,0.75519,1.02793,0.82093,0.71429,0.78957,0.56724,1.20231,0.90708,1.08828,1.71135e-05,1.71135e-05,1.71135e-05
38,10843.5,1.08569,0.7514,1.02415,0.82877,0.71543,0.792,0.56843,1.20178,0.90412,1.08828,1.18384e-05,1.18384e-05,1.18384e-05
39,11128.2,1.08076,0.74872,1.02397,0.83799,0.7114,0.79236,0.5676,1.20579,0.90404,1.09055,8.04714e-06,8.04714e-06,8.04714e-06
40,11411.5,1.07743,0.74971,1.02081,0.83429,0.71163,0.79161,0.56867,1.20576,0.90163,1.08951,5.76296e-06,5.76296e-06,5.76296e-06
