epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,14096.5,0.26313,0.40483,0.05383,0.89298,0.85336,0.92674,0.83986,0.14944,0.36009,0.03819,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797,0.00229139,0.000763797
31,14555.9,0.26048,0.40436,0.05401,0.8959,0.85459,0.92843,0.84206,0.14771,0.35851,0.03781,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073,0.00211222,0.000704073
32,15030,0.25379,0.39982,0.0533,0.89336,0.85511,0.9279,0.84331,0.14678,0.35676,0.03804,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557,0.00193667,0.000645557
33,15512.4,0.25037,0.39864,0.05277,0.89413,0.85593,0.92807,0.84278,0.14778,0.35717,0.0383,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479,0.00176544,0.000588479
34,15975.1,0.24574,0.39586,0.05264,0.89177,0.85826,0.92787,0.8443,0.1458,0.35427,0.03796,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064,0.00159919,0.000533064
35,16449.8,0.24507,0.39531,0.05228,0.89083,0.85838,0.92826,0.84436,0.14633,0.35464,0.03815,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531,0.00143859,0.000479531
36,16926.7,0.2422,0.3935,0.05228,0.89351,0.85775,0.92785,0.8445,0.14527,0.35441,0.03801,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093,0.00128428,0.000428093
37,17404.7,0.24275,0.39313,0.05174,0.89333,0.85812,0.9279,0.8454,0.14438,0.35354,0.03789,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895,0.00113685,0.00037895
38,17881.1,0.23841,0.39176,0.05154,0.89279,0.85822,0.92852,0.84589,0.14448,0.35289,0.03805,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298,0.000996895,0.000332298
39,18355.5,0.23794,0.39,0.05143,0.89204,0.85913,0.92861,0.84617,0.14426,0.353,0.03799,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321,0.000864963,0.000288321
40,18838,0.23644,0.3898,0.05147,0.89254,0.85931,0.92876,0.84676,0.14388,0.35179,0.03796,0.000741576,0.000247192,0.000741576,0.000247192,0.000741576,0.000247192,0.000741576,0.000247192
41,19310.9,0.22002,0.38019,0.0482,0.8936,0.85754,0.92833,0.84642,0.14402,0.35131,0.03808,0.00062722,0.000209073,0.00062722,0.000209073,0.00062722,0.000209073,0.00062722,0.000209073
42,19767.1,0.2169,0.37771,0.04829,0.89426,0.85613,0.92833,0.84656,0.14381,0.35087,0.038,0.000522346,0.000174115,0.000522346,0.000174115,0.000522346,0.000174115,0.000522346,0.000174115
43,20222.2,0.21505,0.37744,0.0479,0.89501,0.85711,0.92892,0.84733,0.14332,0.35055,0.03778,0.000427369,0.000142456,0.000427369,0.000142456,0.000427369,0.000142456,0.000427369,0.000142456
44,20691,0.21527,0.37654,0.04811,0.89399,0.85824,0.92938,0.84782,0.14317,0.35007,0.03778,0.000342664,0.000114221,0.000342664,0.000114221,0.000342664,0.000114221,0.000342664,0.000114221
45,21165.7,0.21382,0.37564,0.04794,0.89362,0.85772,0.92893,0.84729,0.14336,0.34959,0.03792,0.000268564,8.95213e-05,0.000268564,8.95213e-05,0.000268564,8.95213e-05,0.000268564,8.95213e-05
46,21621.5,0.21413,0.37603,0.04739,0.89331,0.85909,0.92951,0.84805,0.14313,0.34962,0.03784,0.000205362,6.8454e-05,0.000205362,6.8454e-05,0.000205362,6.8454e-05,0.000205362,6.8454e-05
47,22090.8,0.21459,0.37578,0.0478,0.8931,0.85883,0.92896,0.84759,0.14335,0.34974,0.03796,0.000153308,5.11027e-05,0.000153308,5.11027e-05,0.000153308,5.11027e-05,0.000153308,5.11027e-05
48,22549.1,0.21322,0.37525,0.04779,0.89353,0.85841,0.92921,0.84781,0.14337,0.34954,0.03799,0.000112607,3.75356e-05,0.000112607,3.75356e-05,0.000112607,3.75356e-05,0.000112607,3.75356e-05
49,23003.1,0.21305,0.37497,0.04774,0.89457,0.85827,0.92956,0.84799,0.14325,0.34928,0.0379,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05,8.34193e-05,2.78064e-05
50,23456.9,0.21434,0.37518,0.04771,0.89401,0.85843,0.92952,0.84814,0.1432,0.34906,0.03791,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05,6.58606e-05,2.19535e-05
