model_name,backbone,epoch,accuracy,macro_f1,timestamp,sedan_f1,mpv_f1,suv_f1,pickup_f1,truck_f1,bus_f1
resnet50,cnn,1,0.5057034220532319,0.569816367700724,2026-01-27 13:17:29,0.379746835443038,0.4171779141104294,0.5757575757575758,0.46153846153846156,0.7096774193548387,0.875
resnet50,cnn,2,0.40304182509505704,0.45599359075989704,2026-01-27 13:17:31,0.3770491803278688,0.32167832167832167,0.45390070921985815,0.3333333333333333,0.55,0.7
resnet50,cnn,3,0.45627376425855515,0.47790618386420153,2026-01-27 13:17:33,0.3883495145631068,0.4970414201183432,0.4426229508196721,0.43636363636363634,0.4074074074074074,0.6956521739130435
resnet50,cnn,4,0.4372623574144487,0.4702140081279831,2026-01-27 13:17:34,0.4067796610169492,0.4745762711864407,0.3300970873786408,0.41935483870967744,0.5238095238095238,0.6666666666666666
resnet50,cnn,5,0.4828897338403042,0.513294889274932,2026-01-27 13:17:36,0.43243243243243246,0.5222222222222223,0.43478260869565216,0.4262295081967213,0.5641025641025641,0.7
resnet50,cnn,6,0.5057034220532319,0.5600569529790267,2026-01-27 13:17:38,0.40350877192982454,0.5531914893617021,0.4369747899159664,0.5,0.6666666666666666,0.8
resnet50,cnn,7,0.5247148288973384,0.5847464188927604,2026-01-27 13:17:42,0.42857142857142855,0.5714285714285714,0.42276422764227645,0.6190476190476191,0.6666666666666666,0.8
resnet50,cnn,8,0.5665399239543726,0.6009953830352943,2026-01-27 13:17:45,0.4583333333333333,0.624390243902439,0.49586776859504134,0.5416666666666666,0.6285714285714286,0.8571428571428571
resnet50,cnn,9,0.55893536121673,0.622794982021896,2026-01-27 13:17:49,0.4166666666666667,0.6124401913875598,0.4878048780487805,0.5531914893617021,0.6666666666666666,1.0
resnet50,cnn,10,0.5817490494296578,0.6439000131689295,2026-01-27 13:17:53,0.5098039215686274,0.6176470588235294,0.5040650406504065,0.5652173913043478,0.6666666666666666,1.0
resnet50,cnn,11,0.5931558935361216,0.6542031654078863,2026-01-27 13:17:57,0.5490196078431373,0.6130653266331658,0.53125,0.5652173913043478,0.6666666666666666,1.0
resnet50,cnn,12,0.6007604562737643,0.6569719085937662,2026-01-27 13:18:01,0.5686274509803921,0.6372549019607843,0.5040650406504065,0.5652173913043478,0.6666666666666666,1.0
resnet50,cnn,13,0.6159695817490495,0.6735685953831115,2026-01-27 13:18:04,0.58,0.6346153846153846,0.5483870967741935,0.5909090909090909,0.6875,1.0
resnet50,cnn,14,0.6387832699619772,0.6886019871828454,2026-01-27 13:18:08,0.5742574257425742,0.66,0.5925925925925926,0.6190476190476191,0.7857142857142857,0.9
resnet50,cnn,15,0.6273764258555133,0.6802690604414744,2026-01-27 13:18:12,0.5961538461538461,0.6363636363636364,0.5714285714285714,0.6190476190476191,0.7586206896551724,0.9
resnet50,cnn,16,0.6349809885931559,0.6954234143701127,2026-01-27 13:18:16,0.5918367346938775,0.6432160804020101,0.5915492957746479,0.6190476190476191,0.7857142857142857,0.9411764705882353
resnet50,cnn,17,0.6425855513307985,0.7018006456563004,2026-01-27 13:18:19,0.6086956521739131,0.6536585365853659,0.5874125874125874,0.6341463414634146,0.7857142857142857,0.9411764705882353
resnet50,cnn,18,0.6463878326996197,0.7089851096762129,2026-01-27 13:18:23,0.5773195876288659,0.6633165829145728,0.6068965517241379,0.6190476190476191,0.8461538461538461,0.9411764705882353
resnet50,cnn,19,0.6577946768060836,0.7111253650405106,2026-01-27 13:18:27,0.6185567010309279,0.6732673267326733,0.6142857142857143,0.6046511627906976,0.8148148148148148,0.9411764705882353
resnet50,cnn,20,0.6692015209125475,0.7265658209105603,2026-01-27 13:18:31,0.6153846153846154,0.6859903381642513,0.6206896551724138,0.65,0.8461538461538461,0.9411764705882353
resnet50,cnn,21,0.688212927756654,0.738278881031043,2026-01-27 13:18:35,0.6352941176470588,0.7247706422018348,0.6142857142857143,0.6341463414634146,0.88,0.9411764705882353
resnet50,cnn,22,0.714828897338403,0.7605455988095128,2026-01-27 13:18:38,0.6206896551724138,0.7488584474885844,0.6666666666666666,0.7058823529411765,0.88,0.9411764705882353
resnet50,cnn,23,0.714828897338403,0.7630782995694076,2026-01-27 13:18:42,0.6511627906976745,0.7454545454545455,0.6573426573426573,0.6666666666666666,0.9166666666666666,0.9411764705882353
resnet50,cnn,24,0.714828897338403,0.7590141118567763,2026-01-27 13:18:46,0.6363636363636364,0.7488584474885844,0.6619718309859155,0.6857142857142857,0.88,0.9411764705882353
resnet50,cnn,25,0.7224334600760456,0.7714911219141678,2026-01-27 13:18:50,0.6428571428571429,0.751131221719457,0.6712328767123288,0.7058823529411765,0.9166666666666666,0.9411764705882353
resnet50,cnn,26,0.7300380228136882,0.7732974958329928,2026-01-27 13:18:53,0.6904761904761905,0.7601809954751131,0.6620689655172414,0.7058823529411765,0.88,0.9411764705882353
resnet50,cnn,27,0.7262357414448669,0.7779865428513099,2026-01-27 13:18:57,0.5974025974025974,0.7522123893805309,0.6933333333333334,0.7272727272727273,0.9565217391304348,0.9411764705882353
resnet50,cnn,28,0.7414448669201521,0.7828773816499354,2026-01-27 13:19:01,0.6753246753246753,0.7685589519650655,0.6896551724137931,0.7058823529411765,0.9166666666666666,0.9411764705882353
resnet50,cnn,29,0.7414448669201521,0.785922479023545,2026-01-27 13:19:05,0.6666666666666666,0.7657657657657657,0.697986577181208,0.7272727272727273,0.9166666666666666,0.9411764705882353
resnet50,cnn,30,0.752851711026616,0.795607209052537,2026-01-27 13:19:09,0.6835443037974683,0.7802690582959642,0.7019867549668874,0.75,0.9166666666666666,0.9411764705882353
resnet50,cnn,test,0.7566539923954373,0.8426241760892182,2026-01-27 13:19:10,0.6896551724137931,0.7378640776699029,0.725,0.9032258064516129,1.0,1.0
resnet50,cnn,1,0.467680608365019,0.49586852319069363,2026-01-27 13:22:45,0.34782608695652173,0.4606741573033708,0.5142857142857142,0.42105263157894735,0.43137254901960786,0.8
resnet50,cnn,2,0.4866920152091255,0.5249328113151939,2026-01-27 13:22:47,0.43373493975903615,0.48044692737430167,0.4927536231884058,0.4745762711864407,0.46808510638297873,0.8
resnet50,cnn,3,0.5209125475285171,0.56245141934421,2026-01-27 13:22:49,0.45098039215686275,0.5168539325842697,0.5147058823529411,0.5306122448979592,0.5789473684210527,0.782608695652174
resnet50,cnn,4,0.5171102661596958,0.5507291122157286,2026-01-27 13:22:51,0.4731182795698925,0.5212765957446809,0.512,0.509090909090909,0.4888888888888889,0.8
resnet50,cnn,5,0.5665399239543726,0.615436649644328,2026-01-27 13:22:52,0.425531914893617,0.5775401069518716,0.5616438356164384,0.6222222222222222,0.6875,0.8181818181818182
resnet50,cnn,6,0.5779467680608364,0.6278272009965152,2026-01-27 13:22:54,0.449438202247191,0.5959595959595959,0.5517241379310345,0.6222222222222222,0.7857142857142857,0.7619047619047619
resnet50,cnn,7,0.596958174904943,0.6473611300531051,2026-01-27 13:22:58,0.4819277108433735,0.6176470588235294,0.5616438356164384,0.6222222222222222,0.7586206896551724,0.8421052631578947
resnet50,cnn,8,0.6045627376425855,0.6716596916070824,2026-01-27 13:23:02,0.5057471264367817,0.6169154228855721,0.5655172413793104,0.6086956521739131,0.7857142857142857,0.9473684210526315
resnet50,cnn,9,0.6311787072243346,0.7121874452814797,2026-01-27 13:23:06,0.4883720930232558,0.6570048309178744,0.581081081081081,0.6666666666666666,0.88,1.0
resnet50,cnn,10,0.6425855513307985,0.7178131144056539,2026-01-27 13:23:10,0.5176470588235295,0.6634146341463415,0.6013071895424836,0.6666666666666666,0.9166666666666666,0.9411764705882353
resnet50,cnn,11,0.6501901140684411,0.7182236571783092,2026-01-27 13:23:14,0.5316455696202531,0.6761904761904762,0.5974025974025974,0.6829268292682927,0.88,0.9411764705882353
resnet50,cnn,12,0.6730038022813688,0.7547013838280404,2026-01-27 13:23:18,0.5365853658536586,0.6919431279620853,0.6242038216560509,0.7777777777777778,0.9565217391304348,0.9411764705882353
resnet50,cnn,13,0.6730038022813688,0.7480681272738351,2026-01-27 13:23:22,0.547945205479452,0.6972477064220184,0.6075949367088608,0.7777777777777778,0.9166666666666666,0.9411764705882353
resnet50,cnn,14,0.6806083650190115,0.7515502366622506,2026-01-27 13:23:26,0.5507246376811594,0.7027027027027027,0.620253164556962,0.7777777777777778,0.9166666666666666,0.9411764705882353
resnet50,cnn,15,0.6996197718631179,0.769888699441129,2026-01-27 13:23:30,0.5833333333333334,0.72,0.6405228758169934,0.7777777777777778,0.9565217391304348,0.9411764705882353
