epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,428.714,0.71245,1.02641,0.2228,0.15535,0.375,0.1476,0.09268,0.52701,1.05299,0.17109,0.000333006,0.000333006,0.0670324
2,831.113,0.62391,0.68266,0.19369,0.65685,0.58618,0.57636,0.36997,0.56219,0.7012,0.20764,0.000650195,0.000650195,0.0340163
3,1233.5,0.52526,0.69868,0.17725,0.51157,0.46087,0.45274,0.31223,0.49863,0.75323,0.20219,0.000905167,0.000905167,0.000937943
4,1633.06,0.48627,0.65157,0.16346,0.62217,0.58929,0.61094,0.42981,0.45728,0.64475,0.1651,0.000795954,0.000795954,0.000795954
5,2036.05,0.46881,0.60059,0.15339,0.78549,0.6383,0.7088,0.49226,0.43799,0.57983,0.15223,0.000657963,0.000657963,0.000657963
6,2438.06,0.45395,0.56716,0.14638,0.77203,0.6516,0.72572,0.50783,0.4385,0.56636,0.15665,0.000505,0.000505,0.000505
7,2840.91,0.44775,0.54234,0.14069,0.7794,0.64435,0.70724,0.49303,0.45086,0.55472,0.1624,0.000352037,0.000352037,0.000352037
8,3241.69,0.43636,0.52884,0.13623,0.78765,0.65531,0.73807,0.52121,0.43078,0.54433,0.15072,0.000214046,0.000214046,0.000214046
9,3644.78,0.43056,0.51395,0.13229,0.78869,0.67857,0.74608,0.52443,0.42974,0.53112,0.15284,0.000104537,0.000104537,0.000104537
10,4046.64,0.42489,0.50722,0.13007,0.78704,0.68242,0.7538,0.5301,0.43036,0.52513,0.15174,3.4227e-05,3.4227e-05,3.4227e-05
